Country,Year,gdp_growth
USA,1997,3.19716561383218
USA,1998,3.27222983411085
USA,1999,3.59198037783612
USA,2000,2.92586254490257
USA,2001,-0.038731925617185
USA,2002,0.761236853294676
USA,2003,1.91588247774337
USA,2004,2.89111091233463
USA,2005,2.53411070718666
USA,2006,1.79819874740998
USA,2007,1.03834382171036
USA,2008,-0.828888121072325
USA,2009,-3.42683194254013
USA,2010,1.8467404584986
USA,2011,0.82892617390047
USA,2012,1.54146623449969
USA,2013,1.41274167855774
USA,2014,1.77469980748791
USA,2015,2.19043056582386
USA,2016,1.08425738313417
USA,2017,1.8114763650572
USA,2018,2.42587721764475
USA,2019,2.11773982573379
USA,2020,-3.10649046252769
USA,2021,5.88831426529379
USA,2022,2.13636162986278
USA,2023,2.38266938077211
USA,2024,2.8
USA,2025,1.7
